State,Population,Population Density,Murders,Gun Murders,Gun Ownership,"Murders per 100,000","Gun Murders Per 100,000"
,,per square mile),[1],-2010,-2007,-2010,inhabitants)
,,-2010,,,[2],,-2010
Alabama,4779736,94.65,199,135,0.517,4.2,2.8
Alaska,710231,1.264,31,19,0.578,4.4,2.7
Arizona,6392017,57.05,352,232,0.311,5.5,3.6
Arkansas,2915918,56.43,130,93,0.553,4.5,3.2
California,37253956,244.2,1811,1257,0.213,4.9,3.4
Colorado,5029196,49.33,117,65,0.347,2.3,1.3
Connecticut,3574097,741.4,131,97,0.167,3.7,2.7
Delaware,897934,470.7,48,38,0.255,5.3,4.2
District of Columbia,601723,10298,131,99,0.036,21.8,16.5
Florida,19687653,360.2,987,669,0.245,5,3.9
Georgia,9920000,172.5,527,376,0.403,5.3,3.8
Hawaii,1360301,216.8,24,7,0.067,1.8,0.5
Idaho,1567582,19.5,21,12,0.553,1.3,0.8
Illinois,12830632,231.9,453,364,0.202,3.5,2.8
Indiana,6483802,182.5,198,142,0.391,3.1,2.2
Iowa,3046355,54.81,38,21,0.429,1.2,0.7
Kansas,2853118,35.09,100,63,0.421,3.5,2.2
Kentucky,4339367,110,180,116,0.477,4.5,2.7
Louisiana,4533372,105,437,351,0.441,9.6,7.7
Maine,1328361,43.04,24,11,0.405,1.8,0.8
Maryland,5773552,606.2,424,293,0.213,7.3,5.1
Massachusetts,6547629,852.1,209,118,0.126,3.2,1.8
Michigan,9883640,174.8,558,413,0.384,5.6,4.2
Minnesota,5303925,67.14,91,53,0.417,1.7,1
Mississippi,2967297,63.5,165,120,0.553,5.6,4
Missouri,5988927,87.26,419,321,0.417,7,5.4
Montana,989415,6.858,21,12,0.577,2.1,1.2
Nebraska,1826341,23.97,51,32,0.386,2.8,1.8
Nevada,2700551,24.8,158,84,0.338,5.9,3.1
New Hampshire,1316470,147,13,5,0.3,1,0.4
New Jersey,8791894,1189,363,246,0.123,4.1,2.8
New Mexico,2059179,17.16,118,67,0.348,5.7,3.3
New York,19378102,415.3,860,517,0.18,4.4,2.7
North Carolina,9535483,200.6,445,286,0.413,4.7,3
North Dakota,672591,9.916,9,4,0.507,1.3,0.6
Ohio,11536504,282.5,460,310,0.324,4,2.7
Oklahoma,3751351,55.22,188,111,0.429,5,3
Oregon,3831074,40.33,78,36,0.398,2,0.9
Pennsylvania,12702379,285.3,646,457,0.347,5.1,3.6
Rhode Island,1052567,1006,29,16,0.128,2.8,1.5
South Carolina,4625364,157.1,280,207,0.423,6.1,4.5
South Dakota,814180,10.86,14,8,0.566,1.7,1
Tennessee,6346105,156.6,356,219,0.439,5.6,2.5
Texas,25145561,98.07,1246,805,0.359,5,3.2
Utah,2763885,34.3,52,22,0.439,1.9,0.8
Vermont,625741,67.73,7,2,0.42,1.1,0.3
Virginia,8001024,207.3,369,250,0.351,4.6,3.1
Washington,6724540,102.6,151,93,0.331,2.2,1.4
West Virginia,1852994,77.06,55,27,0.554,3,1.5
Wisconsin,5686986,105.2,151,97,0.444,2.7,1.7
Wyoming,563626,5.851,8,5,0.597,1.4,0.9
